Company,Date,Adj Close,Volume,Difference,Difference_Percentage
T,2020-08-18,17.742035,29013606,-0.0357319999999994,0.2009926218517737
T,2020-08-19,17.706298999999998,32808588,-0.0357359999999999,0.2014199611262179
T,2020-08-20,17.670567000000002,30355348,-0.0357320000000029,0.20180388911315097
T,2020-08-21,17.682478,32945886,0.0119110000000013,0.0674058732807008
T,2020-08-24,17.884972,34932813,0.2024940000000015,1.1451675494803473
T,2020-08-25,17.807548999999998,27839880,-0.0774229999999995,0.43289416388239005
T,2020-08-26,17.861145,36860557,0.0535959999999988,0.3009734804042873
T,2020-08-27,17.807548999999998,39206950,-0.0535959999999988,0.3000703482335475
T,2020-08-28,17.890926,35535366,0.0833769999999987,0.4682115433179417
T,2020-08-31,17.753946,54923492,-0.1369800000000012,0.7656395202797284
T,2020-09-01,17.551454999999997,61591818,-0.2024909999999984,1.1405408127297358
T,2020-09-02,17.688437,46510531,0.1369819999999997,0.780459511761274
T,2020-09-03,17.622923,58690669,-0.0655140000000003,0.3703775522958885
T,2020-09-04,17.521675,59361805,-0.1012480000000017,0.5745244418306871
T,2020-09-08,17.575274,61477424,0.0535990000000019,0.3059011196132901
T,2020-09-09,17.491894,39217145,-0.0833800000000017,0.4744165012733332
T,2020-09-10,17.217934,62779578,-0.2739599999999988,1.5662111833058152
T,2020-09-11,17.271532,39282550,0.0535980000000009,0.3112917031741492
T,2020-09-14,17.354914,38028987,0.0833820000000002,0.4827713025109775
T,2020-09-15,17.343002,34307091,-0.0119120000000023,0.0686376204457271
T,2020-09-16,17.414473,40870556,0.0714710000000025,0.4121028181857011
T,2020-09-17,17.313223,41904600,-0.1012500000000002,0.5814129431306952
T,2020-09-18,17.229843,60721023,-0.0833800000000017,0.4815972161855812
T,2020-09-21,17.051172,60207576,-0.1786709999999978,1.0369856533225392
T,2020-09-22,16.979702,37268482,-0.0714700000000014,0.4191500736723638
T,2020-09-23,16.598541,57973723,-0.3811609999999987,2.244803825179021
T,2020-09-24,16.699785000000002,43760980,0.1012439999999976,0.609957224553638
T,2020-09-25,16.699785000000002,47569731,0.0,0.0
T,2020-09-28,16.902285,40415232,0.2025000000000005,1.2125904614939689
T,2020-09-29,16.854637,33695138,-0.0476479999999988,0.2819027131538653
T,2020-09-30,16.979702,51752777,0.1250649999999993,0.7420213203049066
T,2020-10-01,16.967794,37920022,-0.0119079999999982,0.0701307949927404
T,2020-10-02,17.08095,37996284,0.11315599999999999,0.666886927080798
T,2020-10-05,17.074995,44305806,-0.0059550000000001,0.0348634004548936
T,2020-10-06,17.09882,51851282,0.0238249999999986,0.1395315196285483
T,2020-10-07,17.152422,54847362,0.0536020000000014,0.3134836205071548
T,2020-10-08,17.456572,42511786,0.3041499999999999,1.7732189658113584
T,2020-10-09,17.279625,43291755,-0.1769470000000019,1.0136411662037768
T,2020-10-12,17.163694,67800584,-0.1159309999999997,0.6709115504532059
T,2020-10-13,16.931836999999998,71511756,-0.2318569999999979,1.3508572222273247
T,2020-10-14,16.773197,64131912,-0.1586400000000019,0.9369331868715832
T,2020-10-15,16.748789000000002,42483188,-0.024408000000001002,0.1455178759302779
T,2020-10-16,16.675575,38827756,-0.0732140000000001,0.4371301113173025
T,2020-10-19,16.401001,69017472,-0.2745739999999976,1.6465639115892419
